Atomic Number,Element,Multiplicity,Term Symbol,DfH0(0),ΔfH°gas,StdErr,(from web elements) gas atom Hº298-Hº0,standard state Hº298-Hº0,"Sºgas,1 bar",StdErr2,Reference,,PBE@700 atom energy,PBE-D3BJ@700 atom energy,r2SCAN@700 atom energy,r2SCAN-D3BJ@700 atom energy,PBE@700,PBE-D3BJ@700,r2SCAN@700,r2SCAN-D3BJ@700
39,Y,2,2D3/2,,,,,,,,,,-219.487,-219.946,-1562.548,-1562.992,,,,
40,Zr,3,3F2,,,,,,,,,,-216.983,-217.326,-1611.010,-1611.345,,,,
41,Nb,6,6D1/2,,,,,,,,,,-303.149,-310.422,-1776.171,-1776.431,,,,
42,Mo,7,7S3,,,,,,,,,,-234.497,-448.961,-1974.723,-1974.870,,,,
43,Tc,6,6S5/2,,,,,,,,,,-269.897,-331.011,-1899.033,-1899.217,,,,
44,Ru,5,5F5,,,,,,,,,,-145.341,-144.409,-1756.964,-1757.067,,,,
45,Rh,4,4F9/2,,,,,,,,,,-122.962,-123.040,-1769.943,-1770.064,,,,
46,Pd,1,1S0,,,,,,,,,,-142.420,-142.525,-1812.761,-1812.864,,,,
47,Ag,2,2S1/2,,,,,,,,,,-19.344,-19.417,-1783.062,-1783.133,,,,
48,Cd,1,1S0,,,,,,,,,,-1.463,-1.546,-1837.449,-1837.528,,,,
49,In,2,2P1/2,,,,,,,,,,-20.708,-20.848,-1946.772,-1946.909,,,,
50,Sn,3,3P0,,,,,,,,,,-65.311,-65.424,-2073.340,-2073.451,,,,
51,Sb,4,4S3/2,,,,,,,,,,-137.875,-137.962,-2233.334,-2233.419,,,,
52,Te,3,3P2,,,,,,,,,,-63.265,-63.490,-2233.501,-2233.576,,,,
53,I,2,2P3/2,,,,,,,,,,-18.159,-18.219,-2249.016,-2249.076,,,,
54,Xe,1,1S0,,,,,,,,,,-1.183,-1.234,-2298.343,-2298.391,-1.183,-1.234,-2298.343,-2298.391
55,Cs,2,2S1/2,,,,,,,,,,-20.696,-22.767,-2357.308,-2359.195,,,,
56,Ba,1,1S0,,,,,,,,,,-8.250,-9.587,-2364.731,-2365.899,,,,
57,La,2,2D3/2,,,,,,,,,,540.935,-43.396,-2484.251,-2490.847,,,,
58,Ce,1,1G4,,,,,,,,,,-109.028,-126.178,-2574.409,-2577.119,,,,
